resume_seq,certificate_contents
U00925,웨딩드레스 수료증
U05506,정승권등산학교 09년1기 암벽반 수료증
U04707,라사라 패션아카데미디자인정규반수료
U07924,MD수료
U03451,테크니컬 패션디자인 수료증
U00052,MD아카데미 수료증
U02470,영업MD(교육수료55시간)
U03408,와인 매니저 자격 수료
U00025,MD&마케팅과정 수료
U07266,패션머천다이징과정 수료
U05275,페턴메이킹수료증
U05585,영업MD 과정 수료
U01101,컬러리스트수료
U00779,재무재표단기수료
U07570,파워포인트프레젠테이션과정 수료증
U02307,MD수료
U03451,FASHION MD 수료증
U05067,MD아카데미 수료증
U01084,노동부 샵메니져 양성과정 수료
U00779,한국의류시험연구소 단기패턴수료
U05326,FIK 영업MD 실무과정 수료
U03451,COLOR&FABRIC 수료증
U05506,한국등산학교 32기 여름암벽반 수료증
U05397,패션페인팅 수료
U02470,바잉MD(교육수료30시간)
U06054,MD아카데미 수료증
U06754,VMD및 샵마스터과정 수료
U02168,머천다이징과정 수료
U02831,인터넷 웹디자인 수료
U03451,디자인CAD 수료증
U02334,패션디자인 실무과정 수료증
U06896,FIK 영업MD 실무과정 수료
U06141,MD아카데미 수료증
U02203,응급처치수료증
U04297,패션머천다이징 수료
U06896,FIK 기획MD 실무과정 수료
U03304,머천다이징과정 수료
U06783,응급처치수료증
U00152,MD아카데미 수료증
U02003,기획 MD 과정 수료
U00652,오타루 상과대학 MBA수료
U06783,심폐소생술 수료증
U05506,한국등산학교 66기 정규반 수료증
U04980,기획 MD 과정 수료
U02069,기획 MD 과정 수료
U02731,패션MD과정 수료증
U01051,한국표준협회 수료증
U07495,브랜드전략 전문가 양성과정 수료
U06631,기획 MD 과정 수료
U07948,패션머천다이징과정 수료
U06841,MD아카데미 수료증
U02965,머천다이징과정 수료
U02643,패션머천다이저(MD)교육과정 수료
U00652,동경대학교 MBA수료
U04177,국제패션디자인학원 피복구성과정 수료(1년 과정)
U04297,패션마케팅 수료
U05941,패션MD과정 수료
U01553,영어학 6개월 수료
U02151,MD아카데미 수료증
U02433,TECH-TALK SHARING PROGRAM 수료증
U05326,FIK 기획MD 실무과정 수료
U02125,MD아카데미 수료증
U05196,기획 MD 과정 수료
U02803,패턴교육수료
