#START7777
#--------------------------------------------------------------------------------------------------
#  지진정보  [입력인수형태][예] ?tm=201108070100&disp=1&help=1
#--------------------------------------------------------------------------------------------------
#  1. TP     : 3(국내지진통보), 2(국외지진정보)
#  2. TM_FC  : 발표시간
#  3. SEQ    : 발표일련번호
#  4. TM_EQK : 진앙시(년월일시분초)
#  5. MSC    : 진앙시(초 미만)
#  6. MT     : 규모
#  7. LAT    : 진앙 위도 (deg.)
#  8. LON    : 진앙 경도 (deg.)
#  9. LOC    : 진앙 위치
# 10. INT    : 진도
# 11. REM    : 참고사항
# 12. COR    : 수정사항
#--------------------------------------------------------------------------------------------------
#TP        TM_FC SEQ         TM_EQK.MSC  MT       LAT       LON LOC,INT,REM,COR,=
  3 201506020103  65 20150602010129.000 2.0   36.7600  129.9800 경북 울진군 동남동쪽 57km 해역,,피해예상 안됨,,=
  2 201506030619  66 20150603060500.000 6.0   27.9000  140.9000 일본 시즈오카현(혼슈) 시즈오카 남남동쪽 822km 해역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  2 201506040442  67 20150604043400.000 5.0   43.5000  144.1000 일본 홋카이도 구시로 북북서쪽 62km 지역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  2 201506050841  68 20150605081543.000 6.0    6.0800  116.5500 말레이시아 라나우 북서쪽 19km 지역,,국내영향없음.\n위 자료는 미지질조사소(USGS) 분석결과임.,,=
  2 201506050841  68 20150605081543.000 6.0    6.0800  116.5500 말레이시아 라나우 북서쪽 19km 지역,,국내영향없음.\n위 자료는 미지질조사소(USGS) 분석결과임.,,=
  3 201506072059  69 20150607205401.000 2.6   33.7800  126.1800 제주 제주시 북서쪽 45km 해역,,피해예상 안됨,,=
  2 201506081509  70 20150608150100.000 5.5   41.5000  142.0000 일본 아오모리현(혼슈) 아오모리 북동쪽 129km 해역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  2 201506101740  71 20150610173300.000 5.6   39.6000  143.7000 일본 이와테현(혼슈) 모리오카 동쪽 218km 해역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  2 201506102323  72 20150610225208.000 6.0  -22.4100  -68.3300 칠레 산페드로 드 아타카마 북북서쪽 57km 지역,,국내영향없음.\n위 자료는 미지질조사소(USGS) 분석결과임.\n,,=
  2 201506111355  74 20150611134500.000 5.8   39.7000  143.7000 일본 이와테현(혼슈) 모리오카 동쪽 218km 해역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  2 201506111402  75 20150611135100.000 5.7   39.6000  143.8000 일본 이와테현(혼슈) 모리오카 동쪽 227km 해역,,국내영향없음.\n위 자료는 일본기상청(JMA) 분석결과임.\n,,=
  3 201506170100  76 20150617005506.000 2.1   38.4000  125.6200 황해남도 안악 남동쪽 16km 지역,,피해예상 안됨,,=
  3 201506221206  77 20150622120228.000 2.6   35.8500  125.0000 충남 태안군 서격렬비도 남남서쪽 96km 해역,,피해예상 안됨,,=
