ot,MT,dep,sc,lat,lon,spot
2023-09-22,2.2,14,2,36.59 N,128.22 E,경북 문경시 동쪽 3km 지역
2023-09-16,2.2,7,2,36.01 N,128.01 E,경북 김천시 남남서쪽 17km 지역
2023-09-14,2.9,23,1,35.70 N,130.03 E,울산 동구 동북동쪽 60km 해역
2023-09-08,2.3,19,1,41.32 N,129.17 E,북한 함경북도 길주 북북서쪽 43km 지역
2023-09-08,2.1,24,1,41.30 N,129.23 E,북한 함경북도 길주 북북서쪽 39km 지역
2023-09-08,2.2,17,1,41.29 N,129.24 E,북한 함경북도 길주 북쪽 38km 지역
2023-09-02,2.5,15,1,41.28 N,129.15 E,북한 함경북도 길주 북북서쪽 39km 지역
2023-09-02,2.1,28,1,41.26 N,129.10 E,북한 함경북도 길주 북북서쪽 39km 지역
2023-08-26,2.1,9,3,35.98 N,128.14 E,경북 김천시 남쪽 18km 지역
2023-08-13,2.3,5,1,41.31 N,129.16 E,북한 함경북도 길주 북북서쪽 42km 지역
2023-08-13,2.7,15,1,41.30 N,129.19 E,북한 함경북도 길주 북북서쪽 40km 지역
2023-08-13,2.3,19,1,41.29 N,129.19 E,북한 함경북도 길주 북북서쪽 39km 지역
2023-08-07,2.2,21,1,34.57 N,127.29 E,전남 고흥군 남남동쪽 4km 지역
2023-08-04,2.1,22,2,33.73 N,127.22 E,전남 여수시 거문도 남남서쪽 34km 해역
2023-07-29,3.5,6,1,35.80 N,127.53 E,전북 장수군 북쪽 17km 지역
2023-07-28,2,17,5,41.31 N,129.23 E,북한 함경북도 길주 북북서쪽 40km 지역
2023-07-17,2.4,13,1,35.31 N,128.58 E,경남 함안군 동북동쪽 16km 지역
2023-07-05,2.1,15,3,41.27 N,129.21 E,북한 함경북도 길주 북북서쪽 36km 지역
2023-07-03,3.3,14,1,41.30 N,129.12 E,북한 함경북도 길주 북북서쪽 42km 지역
2023-06-25,2.4,17,1,41.32 N,129.21 E,북한 함경북도 길주 북북서쪽 42km 지역
2023-06-18,2.3,17,1,41.28 N,129.19 E,북한 함경북도 길주 북북서쪽 38km 지역
2023-06-17,2.1,30,1,37.86 N,129.50 E,강원 동해시 북동쪽 50km 해역
2023-06-16,3.1,25,1,34.02 N,124.80 E,전남 신안군 흑산도 남서쪽 92km 해역
2023-06-13,2,21,2,35.07 N,128.50 E,경남 창원시 마산합포구 남남서쪽 15km 해역
2023-06-07,2.1,22,1,41.31 N,129.16 E,북한 함경북도 길주 북북서쪽 42km 지역
2023-06-05,2.1,5,3,35.77 N,127.18 E,전북 완주군 남쪽 15km 지역
2023-05-25,2.4,28,1,41.23 N,129.35 E,북한 함경북도 길주 북쪽 31km 지역
2023-05-22,2.3,28,1,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역
2023-05-19,2.3,15,1,41.28 N,129.17 E,북한 함경북도 길주 북북서쪽 38km 지역
