地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2022/11/06,19:44:26.2,大分県中部,33°17.2′N,131°27.6′E,8 km,1.6,震度１
2022/11/06,13:23:32.0,北海道東方沖,43°14.8′N,146°51.9′E,52 km,5.4,震度３
2022/11/06,09:06:55.8,長野県南部,35°56.3′N,138°06.1′E,5 km,2.7,震度２
2022/11/06,00:32:02.0,日向灘,31°42.6′N,131°47.3′E,33 km,3.8,震度１
2022/11/05,14:49:20.6,宮城県沖,37°52.4′N,141°42.4′E,63 km,3.9,震度１
2022/11/05,09:48:59.3,奄美大島近海,27°46.0′N,129°04.0′E,16 km,3.0,震度１
2022/11/04,20:51:35.5,茨城県北部,36°41.8′N,140°34.9′E,10 km,2.7,震度１
2022/11/04,19:50:48.5,宮城県沖,38°18.7′N,141°53.5′E,46 km,4.0,震度２
2022/11/04,15:45:18.8,石川県能登地方,37°29.0′N,137°10.7′E,13 km,3.1,震度１
2022/11/04,05:16:34.6,千葉県南部,35°09.0′N,140°04.9′E,17 km,3.7,震度２
2022/11/04,03:57:22.2,千葉県南部,35°08.6′N,140°05.0′E,17 km,4.2,震度３
2022/11/03,21:10:20.2,和歌山県南方沖,33°21.1′N,135°11.7′E,29 km,3.5,震度１
2022/11/03,20:16:56.5,千葉県北西部,35°39.8′N,140°11.7′E,71 km,4.5,震度２
2022/11/03,20:00:41.3,日向灘,32°40.0′N,132°05.2′E,42 km,3.3,震度１
2022/11/03,19:04:32.4,千葉県北西部,35°39.6′N,140°11.3′E,68 km,4.9,震度３
2022/11/03,19:02:54.4,千葉県北西部,35°39.5′N,140°10.5′E,68 km,4.0,震度２
2022/11/03,05:21:02.9,宮城県沖,38°18.9′N,141°55.1′E,45 km,3.8,震度１
2022/11/03,02:32:09.7,福島県中通り,37°10.5′N,140°07.1′E,7 km,3.6,震度３
2022/11/02,22:11:34.4,石川県能登地方,37°30.0′N,137°13.4′E,13 km,2.6,震度１
2022/11/02,17:31:39.0,福岡県北西沖,34°15.9′N,130°39.4′E,13 km,3.4,震度１
2022/11/02,13:08:59.5,和歌山県北部,34°15.4′N,135°10.4′E,7 km,2.4,震度１
2022/11/02,08:45:56.7,釧路沖,42°00.7′N,144°50.2′E,15 km,5.0,震度１
2022/11/02,06:05:00.1,和歌山県北部,34°12.4′N,135°10.1′E,5 km,1.7,震度１
2022/11/02,03:30:31.2,石川県能登地方,37°30.1′N,137°13.2′E,11 km,2.8,震度１
2022/11/01,17:30:11.9,与那国島近海,24°41.9′N,122°32.0′E,106 km,4.7,震度１
2022/11/01,14:18:01.8,島根県東部,35°12.0′N,133°02.8′E,8 km,3.4,震度２
2022/11/01,05:52:35.8,秋田県内陸北部,40°01.6′N,140°35.8′E,6 km,2.9,震度１
2022/11/01,03:20:19.8,宮城県沖,38°38.4′N,141°54.3′E,47 km,3.4,震度１
2022/11/01,00:55:06.0,京都府南部,34°57.4′N,135°39.4′E,8 km,2.6,震度１
2022/10/31,17:20:19.4,長野県南部,35°56.4′N,138°06.1′E,5 km,2.1,震度１
2022/10/31,08:44:05.3,トカラ列島近海,29°34.7′N,129°44.4′E,5 km,3.4,震度３
2022/10/31,05:46:26.3,茨城県北部,36°27.8′N,140°35.8′E,55 km,3.1,震度１
2022/10/30,22:26:15.1,石川県能登地方,37°31.1′N,137°15.2′E,11 km,2.5,震度１
2022/10/30,19:13:39.2,長野県南部,35°56.4′N,138°06.1′E,5 km,2.3,震度１
2022/10/29,21:34:53.5,茨城県沖,36°37.2′N,141°00.4′E,45 km,3.2,震度１
2022/10/29,17:39:35.1,宮城県沖,38°49.1′N,142°26.6′E,42 km,3.8,震度１
2022/10/29,10:37:08.8,岩手県沿岸北部,40°09.8′N,141°50.6′E,40 km,3.1,震度１
2022/10/29,05:56:26.9,福島県沖,37°19.5′N,141°47.8′E,50 km,4.5,震度３
2022/10/28,18:48:47.7,宮城県沖,38°51.5′N,141°47.9′E,56 km,3.3,震度１
2022/10/28,18:29:17.2,石川県能登地方,37°30.5′N,137°12.9′E,12 km,2.7,震度１
2022/10/28,18:24:03.0,宮城県沖,38°55.3′N,141°55.8′E,51 km,3.7,震度２
2022/10/28,14:58:23.1,紀伊水道,33°40.8′N,135°11.5′E,41 km,3.1,震度１
2022/10/28,13:54:07.4,国後島付近,43°45.7′N,146°20.2′E,29 km,3.7,震度１
2022/10/28,03:01:11.9,国後島付近,44°10.7′N,146°49.8′E,132 km,4.4,震度２
2022/10/27,22:25:04.1,釧路沖,42°00.1′N,144°52.8′E,13 km,5.1,震度１
2022/10/27,13:09:55.7,三重県北部,34°59.1′N,136°30.0′E,15 km,3.6,震度２
2022/10/27,05:36:40.0,宮城県沖,38°27.3′N,142°00.2′E,43 km,3.8,震度１
2022/10/27,02:59:36.8,福島県沖,37°15.4′N,141°19.5′E,59 km,3.6,震度１
2022/10/26,16:06:01.2,釧路沖,41°59.4′N,144°53.2′E,11 km,5.2,震度２
2022/10/26,07:49:15.0,種子島南東沖,30°09.2′N,131°22.3′E,38 km,4.5,震度２
