地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/09/22,17:45:24.8,薩摩半島西方沖,31°09.8′N,129°38.9′E,12 km,3.9,震度１
2023/09/22,12:05:37.9,宮城県沖,38°59.2′N,141°38.8′E,73 km,3.1,震度１
2023/09/22,11:51:42.9,トカラ列島近海,29°18.2′N,129°19.9′E,23 km,2.6,震度１
2023/09/22,02:25:25.1,釧路地方中南部,43°03.6′N,144°20.8′E,97 km,3.7,震度２
2023/09/22,00:59:10.9,宮城県沖,38°43.1′N,141°35.6′E,71 km,3.3,震度１
2023/09/21,06:41:45.2,トカラ列島近海,29°56.1′N,130°00.5′E,11 km,2.2,震度１
2023/09/21,04:26:33.4,トカラ列島近海,29°14.1′N,129°10.7′E,11 km,2.5,震度１
2023/09/20,18:03:26.7,渡島地方東部,41°52.7′N,140°31.0′E,13 km,2.8,震度１
2023/09/20,15:31:50.3,秋田県内陸南部,39°47.8′N,140°48.4′E,2 km,2.3,震度１
2023/09/20,09:16:19.4,能登半島沖,37°32.3′N,137°17.9′E,12 km,2.7,震度１
2023/09/19,13:35:27.7,トカラ列島近海,29°16.7′N,129°07.9′E,14 km,3.5,震度３
2023/09/19,06:42:24.3,トカラ列島近海,29°14.3′N,129°09.1′E,12 km,2.4,震度１
2023/09/19,06:29:45.0,トカラ列島近海,29°14.2′N,129°09.2′E,13 km,2.8,震度１
2023/09/19,04:33:04.4,宮城県沖,38°28.3′N,141°37.3′E,57 km,5.6,震度４
2023/09/19,01:17:25.9,熊本県熊本地方,32°30.9′N,130°34.4′E,8 km,2.8,震度１
2023/09/18,22:21:22.5,宮古島北西沖,26°28.7′N,125°13.2′E,182 km,6.5,震度３
2023/09/18,20:31:09.9,鳥島近海,29°43.4′N,139°17.6′E,462 km,5.2,震度１
2023/09/18,18:09:48.2,西表島付近,24°19.4′N,123°43.2′E,49 km,3.1,震度１
2023/09/18,12:43:20.9,奄美大島近海,28°33.6′N,130°03.5′E,34 km,4.1,震度１
2023/09/18,11:05:07.1,茨城県沖,36°30.4′N,141°05.6′E,40 km,3.4,震度１
2023/09/18,06:09:58.0,岩手県沿岸北部,39°45.5′N,141°51.0′E,57 km,3.5,震度１
2023/09/17,17:23:29.8,和歌山県北部,34°03.3′N,135°19.0′E,8 km,3.2,震度２
2023/09/17,00:17:30.9,千葉県東方沖,35°22.3′N,140°32.3′E,29 km,2.7,震度１
2023/09/16,15:51:29.8,宮城県沖,38°21.2′N,141°53.0′E,62 km,3.8,震度１
2023/09/16,14:58:35.6,茨城県南部,35°58.0′N,140°14.4′E,50 km,3.2,震度１
2023/09/16,05:28:41.9,岐阜県飛騨地方,36°03.2′N,137°34.4′E,5 km,2.0,震度１
2023/09/16,04:35:57.4,福島県沖,37°09.8′N,141°25.6′E,44 km,4.2,震度３
2023/09/16,04:07:51.6,徳島県北部,33°54.0′N,133°57.4′E,36 km,3.4,震度１
2023/09/16,00:20:23.1,岐阜県飛騨地方,36°03.1′N,137°34.2′E,4 km,2.1,震度１
2023/09/15,23:01:11.6,新島・神津島近海,34°28.1′N,139°13.6′E,15 km,2.4,震度１
2023/09/15,22:42:21.1,トカラ列島近海,29°19.3′N,129°24.0′E,20 km,2.6,震度１
2023/09/15,21:26:01.6,トカラ列島近海,29°20.0′N,129°18.1′E,24 km,2.5,震度１
2023/09/15,20:05:02.3,奄美大島北西沖,28°07.1′N,128°03.5′E,15 km,3.7,震度１
2023/09/15,18:38:46.2,岐阜県美濃東部,35°20.7′N,137°07.7′E,48 km,3.6,震度２
2023/09/15,16:56:44.1,千葉県北西部,35°48.2′N,140°07.3′E,67 km,3.9,震度１
2023/09/15,16:42:24.3,トカラ列島近海,29°18.7′N,129°23.6′E,12 km,2.9,震度１
2023/09/15,15:26:13.2,石川県能登地方,37°30.6′N,137°13.7′E,13 km,3.6,震度２
2023/09/15,15:08:57.3,トカラ列島近海,29°19.0′N,129°14.9′E,27 km,2.4,震度１
2023/09/15,14:57:37.0,千葉県東方沖,35°22.2′N,140°36.0′E,28 km,2.8,震度１
2023/09/15,13:48:07.3,千葉県東方沖,35°22.0′N,140°36.3′E,27 km,2.7,震度１
2023/09/15,02:46:09.0,千葉県東方沖,35°22.3′N,140°32.4′E,27 km,2.9,震度１
2023/09/14,18:55:59.7,大分県中部,33°17.4′N,131°28.2′E,4 km,1.4,震度１
2023/09/14,18:51:41.9,山形県庄内地方,39°03.3′N,139°54.4′E,10 km,2.7,震度２
2023/09/14,18:16:51.0,奄美大島近海,28°07.9′N,129°26.4′E,34 km,3.8,震度２
2023/09/14,09:11:24.7,トカラ列島近海,29°17.6′N,129°22.3′E,18 km,3.2,震度１
2023/09/14,08:07:14.0,能登半島沖,37°33.2′N,137°16.2′E,12 km,2.8,震度１
2023/09/14,03:14:38.5,茨城県沖,36°42.6′N,141°29.4′E,39 km,4.1,震度１
2023/09/14,01:29:45.3,福島県沖,37°09.4′N,141°22.2′E,46 km,3.7,震度１
2023/09/13,12:24:36.2,トカラ列島近海,29°56.5′N,130°01.6′E,9 km,2.4,震度１
2023/09/13,12:15:41.7,トカラ列島近海,29°56.7′N,130°01.5′E,8 km,2.5,震度１
2023/09/13,05:01:27.7,石川県能登地方,37°30.8′N,137°17.7′E,14 km,2.9,震度１
2023/09/12,18:13:43.8,奄美大島近海,28°08.9′N,130°16.5′E,34 km,3.6,震度１
2023/09/12,17:57:27.3,奄美大島近海,28°07.5′N,130°21.9′E,35 km,4.8,震度２
2023/09/12,17:56:04.2,奄美大島近海,28°08.2′N,130°22.1′E,36 km,4.4,震度２
2023/09/12,15:22:28.3,トカラ列島近海,29°19.4′N,129°23.6′E,17 km,2.9,震度２
2023/09/12,08:41:47.0,福島県沖,37°51.4′N,141°44.9′E,63 km,4.0,震度１
2023/09/12,05:46:44.0,トカラ列島近海,29°20.8′N,129°13.5′E,20 km,2.1,震度１
2023/09/12,02:16:21.0,トカラ列島近海,29°19.4′N,129°22.3′E,19 km,3.2,震度２
2023/09/12,01:50:20.7,トカラ列島近海,29°19.8′N,129°20.6′E,16 km,2.5,震度１
2023/09/12,01:48:39.3,トカラ列島近海,29°19.7′N,129°21.1′E,15 km,3.2,震度２
2023/09/12,01:46:12.1,トカラ列島近海,29°19.3′N,129°20.9′E,19 km,4.6,震度３
