OT,MT,DEP,SC,LAT,LON,SPOT
2019-11-18,3.5,48.0,2.0,36.07,139.51,茨城県南部
2019-11-18,3.7,56.0,2.0,36.27,140.36,茨城県北部
2019-11-17,4.7,13.0,4.0,34.38,139.03,伊豆大島近海
2019-11-17,3.5,59.0,2.0,36.28,140.36,茨城県北部
2019-11-17,4.6,28.0,2.0,28.48,129.54,奄美大島近海
2019-11-15,2.5,10.0,2.0,37.21,138.48,新潟県中越地方
2019-11-15,3.7,62.0,2.0,36.01,140.04,茨城県南部
2019-11-13,2.7,0.0,2.0,29.37,129.44,トカラ列島近海
2019-11-13,3.2,8.0,2.0,34.51,135.37,大阪府北部
2019-11-12,3.5,7.0,3.0,36.03,137.34,岐阜県飛騨地方
2019-11-11,3.8,114.0,2.0,37.08,140.19,福島県中通り
2019-11-11,3.8,14.0,2.0,38.39,139.28,山形県沖
2019-11-08,3.2,15.0,2.0,34.02,133.03,瀬戸内海中部
2019-11-08,4.4,52.0,4.0,36.32,140.5,茨城県沖
2019-11-08,2.6,5.0,2.0,34.13,135.09,和歌山県北部
2019-11-06,2.6,0.0,3.0,29.36,129.43,トカラ列島近海
2019-11-06,2.2,0.0,2.0,29.36,129.43,トカラ列島近海
2019-11-06,3.1,9.0,2.0,36.04,137.27,岐阜県飛騨地方
2019-11-05,2.4,10.0,2.0,34.5,139.16,伊豆大島近海
2019-11-05,2.6,10.0,2.0,34.5,139.16,伊豆大島近海
2019-11-04,3.4,6.0,2.0,36.41,139.24,栃木県北部
2019-11-03,3.8,42.0,2.0,36.02,139.54,茨城県南部
2019-11-02,4.2,35.0,2.0,28.21,129.3,奄美大島近海
2019-11-01,3.8,31.0,2.0,28.16,129.27,奄美大島近海
2019-10-31,3.7,45.0,2.0,33.31,132.24,愛媛県南予
2019-10-30,3.4,13.0,3.0,34.58,135.32,京都府南部
2019-10-28,3.5,53.0,2.0,36.25,140.39,茨城県沖
2019-10-27,3.2,10.0,2.0,34.5,135.36,大阪府北部
2019-10-26,2.7,7.0,2.0,35.04,135.38,京都府南部
