OT,MT,DEP,SC,LAT,LON,SPOT
2023-09-27,3.2,6.0,1,41.33,129.16,북한 함경북도 길주 북북서쪽 44km 지역
2023-09-26,1.4,7.0,1,35.36,126.3,전남 영광군 서북서쪽 21km 해역
2023-09-26,1.2,12.0,1,36.44,128.05,경북 상주시 서북서쪽 10km 지역
2023-09-26,1.5,9.0,1,39.03,126.57,북한 평안남도 양덕 남남서쪽 21km 지역
2023-09-25,1.2,9.0,1,34.98,127.38,전남 순천시 서북서쪽 10km 지역
2023-09-24,1.4,8.0,1,36.14,127.39,충남 금산군 서북서쪽 9km 지역
2023-09-23,1.5,12.0,1,35.79,129.41,경북 경주시 동남동쪽 18km 지역
2023-09-23,1.1,12.0,1,36.59,128.21,경북 문경시 동쪽 2km 지역
2023-09-23,1.6,12.0,1,35.79,129.41,경북 경주시 동남동쪽 18km 지역
2023-09-22,1.2,13.0,1,35.96,128.94,경북 영천시 남쪽 1km 지역
2023-09-22,1.1,5.0,1,35.79,129.33,경북 경주시 남동쪽 12km 지역
2023-09-22,2.2,14.0,2,36.59,128.22,경북 문경시 동쪽 3km 지역
2023-09-21,1.8,12.0,1,35.79,129.41,경북 경주시 동남동쪽 18km 지역
2023-09-21,1.8,10.0,1,35.78,129.42,경북 경주시 동남동쪽 20km 지역
2023-09-20,1.7,10.0,1,35.79,129.42,경북 경주시 동남동쪽 19km 지역
2023-09-20,1.1,12.0,1,35.79,129.41,경북 경주시 동남동쪽 18km 지역
2023-09-20,1.0,15.0,1,36.04,129.07,경북 영천시 동북동쪽 14km 지역
2023-09-19,0.8,20.0,1,34.58,127.28,전남 고흥군 남쪽 3km 지역
2023-09-19,0.9,7.0,1,35.99,128.14,경북 김천시 남쪽 17km 지역
2023-09-18,1.0,9.0,1,34.98,127.38,전남 순천시 서북서쪽 10km 지역
2023-09-18,1.3,15.0,1,35.4,127.96,경남 산청군 동남동쪽 8km 지역
2023-09-18,1.2,14.0,1,35.75,129.18,경북 경주시 남남서쪽 12km 지역
2023-09-17,1.7,12.0,1,37.95,125.71,북한 황해남도 해주 남쪽 10km 해역
2023-09-17,1.5,18.0,1,35.06,125.08,전남 신안군 흑산도 북서쪽 53km 해역
2023-09-16,1.4,14.0,1,35.81,126.94,전북 김제시 동쪽 5km 지역
2023-09-16,1.6,16.0,1,35.81,125.99,전북 군산시 어청도 남쪽 34km 해역
2023-09-16,1.5,17.0,1,35.81,126.0,전북 군산시 어청도 남쪽 34km 해역
2023-09-16,1.4,17.0,1,35.82,126.0,전북 군산시 어청도 남쪽 33km 해역
2023-09-16,2.2,7.0,2,36.01,128.01,경북 김천시 남남서쪽 17km 지역
2023-09-15,1.8,12.0,1,33.21,126.38,제주 서귀포시 서남서쪽 17km 해역
2023-09-15,1.8,25.0,1,35.7,130.0,울산 동구 동북동쪽 57km 해역
2023-09-15,1.3,15.0,1,35.77,129.2,경북 경주시 남남서쪽 10km 지역
2023-09-15,1.3,14.0,1,36.65,128.77,경북 안동시 북북동쪽 10km 지역
2023-09-14,2.9,23.0,1,35.7,130.03,울산 동구 동북동쪽 60km 해역
2023-09-14,1.3,8.0,1,36.63,128.68,경북 안동시 북북서쪽 8km 지역
2023-09-13,0.7,7.0,1,38.13,127.1,경기 연천군 북북동쪽 4km 지역
2023-09-12,0.9,14.0,1,36.33,128.46,경북 의성군 서쪽 21km 지역
2023-09-12,1.3,9.0,2,34.8,128.04,경남 남해군 동남동쪽 14km 지역
2023-09-12,1.1,7.0,1,38.13,127.09,경기 연천군 북북동쪽 4km 지역
2023-09-08,1.5,17.0,1,35.07,125.07,전남 신안군 흑산도 북서쪽 55km 해역
2023-09-08,1.3,12.0,1,36.04,126.64,충남 서천군 남서쪽 6km 해역
2023-09-08,1.5,13.0,1,35.76,129.19,경북 경주시 남남서쪽 11km 지역
